Implement,GivenName,LastName,Initials,OfficeName,Description,Mail,StreetAddress,City,PostalCode,State,Country,Company,Department,EmployeeID,ExtensionAttribute1,Title,Phone,Manager,ProfilePath,ScriptPath,HomeDirectory,HomeDrive,Password,PasswordNeverExpires,Enabled,TargetOU,ProxyAddresses
Yes,Angela,Davis,A,St Catherines Cream,Human Working Drone,ADavis@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE008,6008,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!ADavis,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK9
Yes,Mary,Garcia,M,St Catherines Cream,Human Working Drone,MGarcia@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE009,6009,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!MGarcia,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK10
Yes,Tammy,Rodriguez,T,St Catherines Cream,Human Working Drone,TRodriguez@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE010,6010,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!TRodriguez,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK11
Yes,Laura,Wilson,L,St Catherines Cream,Human Working Drone,LWilson@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE011,6011,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!LWilson,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK12
Yes,Susan,Martinez,S,St Catherines Cream,Human Working Drone,SMartinez@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE012,6012,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!SMartinez,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK13
Yes,Julie,Anderson,J,St Catherines Cream,Human Working Drone,JAnderson@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE013,6013,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!JAnderson,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK14
Yes,Karen,Taylor,K,St Catherines Cream,Human Working Drone,KTaylor@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE014,6014,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!KTaylor,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK15
Yes,Christine,Thomas,C,St Catherines Cream,Human Working Drone,CThomas@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE015,6015,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!CThomas,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK16
Yes,Kelly,Hernandez,K,St Catherines Cream,Human Working Drone,KHernandez@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE016,6016,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!KHernandez,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK17
Yes,Elizabeth,Moore,E,St Catherines Cream,Human Working Drone,EMoore@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE017,6017,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!EMoore,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK18
Yes,Tracy,Martin,T,St Catherines Cream,Human Working Drone,TMartin@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE018,6018,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!TMartin,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK19
Yes,Patricia,Jackson,P,St Catherines Cream,Human Working Drone,PJackson@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE019,6019,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!PJackson,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK20
Yes,Stephanie,Thompson,S,St Catherines Cream,Human Working Drone,SThompson@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE020,6020,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!SThompson,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK21
Yes,Lori,White,L,St Catherines Cream,Human Working Drone,LWhite@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE021,6021,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!LWhite,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK22
Yes,Dawn,Lopez,D,St Catherines Cream,Human Working Drone,DLopez@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE022,6022,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!DLopez,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK23
Yes,Tina,Lee,T,St Catherines Cream,Human Working Drone,TLee@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE023,6023,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!TLee,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK24
Yes,Cynthia,Gonzalez,C,St Catherines Cream,Human Working Drone,CGonzalez@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE024,6024,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!CGonzalez,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK25
Yes,Pamela,Harris,P,St Catherines Cream,Human Working Drone,PHarris@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE025,6025,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!PHarris,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK26
Yes,Sandra,Clark,S,St Catherines Cream,Human Working Drone,SClark@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE026,6026,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!SClark,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK27
Yes,Donna,Lewis,D,St Catherines Cream,Human Working Drone,DLewis@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE027,6027,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!DLewis,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK28
Yes,Deborah,Robinson,D,St Catherines Cream,Human Working Drone,DRobinson@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE028,6028,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!DRobinson,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK29
Yes,Rebecca,Walker,R,St Catherines Cream,Human Working Drone,RWalker@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE029,6029,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!RWalker,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK30
Yes,Wendy,Perez,W,St Catherines Cream,Human Working Drone,WPerez@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE030,6030,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!WPerez,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK31
Yes,Michele,Hall,M,St Catherines Cream,Human Working Drone,MHall@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE031,6031,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!MHall,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK32
Yes,Shannon,Young,S,St Catherines Cream,Human Working Drone,SYoung@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE032,6032,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!SYoung,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK33
Yes,Teresa,Allen,T,St Catherines Cream,Human Working Drone,TAllen@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE033,6033,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!TAllen,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK34
Yes,Linda,Sanchez,L,St Catherines Cream,Human Working Drone,LSanchez@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE034,6034,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!LSanchez,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK35
Yes,Heather,Wright,H,St Catherines Cream,Human Working Drone,HWright@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE035,6035,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!HWright,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK36
Yes,Denise,King,D,St Catherines Cream,Human Working Drone,DKing@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE036,6036,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!DKing,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK37
Yes,Sharon,Scott,S,St Catherines Cream,Human Working Drone,SScott@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE037,6037,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!SScott,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK38
Yes,Christina,Green,C,St Catherines Cream,Human Working Drone,CGreen@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE038,6038,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!CGreen,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK39
Yes,Brenda,Baker,B,St Catherines Cream,Human Working Drone,BBaker@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE039,6039,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!BBaker,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK40
Yes,Barbara,Adams,B,St Catherines Cream,Human Working Drone,BAdams@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE040,6040,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!BAdams,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK41
Yes,Maria,Nelson,M,St Catherines Cream,Human Working Drone,MNelson@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE041,6041,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!MNelson,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK42
Yes,Cheryl,Hill,C,St Catherines Cream,Human Working Drone,CHill@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE042,6042,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!CHill,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK43
Yes,Kathleen,Ramirez,K,St Catherines Cream,Human Working Drone,KRamirez@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE043,6043,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!KRamirez,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK44
Yes,Debra,Campbell,D,St Catherines Cream,Human Working Drone,DCampbell@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE044,6044,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!DCampbell,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK45
Yes,Rhonda,Mitchell,R,St Catherines Cream,Human Working Drone,RMitchell@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE045,6045,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!RMitchell,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK46
Yes,Nancy,Roberts,N,St Catherines Cream,Human Working Drone,NRoberts@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE046,6046,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!NRoberts,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK47
Yes,Robin,Carter,R,St Catherines Cream,Human Working Drone,RCarter@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE047,6047,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!RCarter,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK48
Yes,Nicole,Phillips,N,St Catherines Cream,Human Working Drone,NPhillips@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE048,6048,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!NPhillips,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK49
Yes,Andrea,Evans,A,St Catherines Cream,Human Working Drone,AEvans@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE049,6049,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!AEvans,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK50
Yes,Theresa,Turner,T,St Catherines Cream,Human Working Drone,TTurner@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE050,6050,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!TTurner,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK51
Yes,Paula,Torres,P,St Catherines Cream,Human Working Drone,PTorres@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE051,6051,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!PTorres,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK52
Yes,Jill,Parker,J,St Catherines Cream,Human Working Drone,JParker@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE052,6052,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!JParker,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK53
